Exam_Name,Full_Form,Conducted_By,Exam_For,Exam_Pattern,Total_Marks,Duration,Eligibility,Exam_Months,Registration_Fee,Preparation_Time,Top_Coaching_JK,Official_Website
JEE Main,Joint Entrance Examination Main,NTA,B.Tech/BE admission in NITs/IIITs/GFTIs,75 MCQs (Physics 25|Chemistry 25|Maths 25),300,3 hours,12th with PCM 75%+ (50% for reserved),January & April,₹1000 (General)|₹500 (Reserved),12-18 months,Aakash Srinagar|FIITJEE Jammu|Resonance Online,jeemain.nta.nic.in
JEE Advanced,Joint Entrance Examination Advanced,IITs,B.Tech admission in IITs,Two papers (3 hours each)|Physics|Chemistry|Maths,360 (180 per paper),6 hours total,Top 2.5 lakh in JEE Main,May-June,₹2800 (General)|₹1400 (Reserved),18-24 months,Aakash|FIITJEE|Allen Online,jeeadv.ac.in
NEET UG,National Eligibility cum Entrance Test,NTA,MBBS/BDS/AYUSH admission,180 MCQs (Physics 45|Chemistry 45|Biology 90),720,3 hours 20 minutes,12th with PCB 50%+ (40% for reserved),May,₹1700 (General)|₹1000 (Reserved),18-24 months,Aakash Srinagar|Career Point Jammu|ALLEN Online,neet.nta.nic.in
CUET UG,Common University Entrance Test,NTA,Admission to Central Universities,Domain subjects + General Test,Varies by subjects,3 hours per slot,12th appearing/passed,May,₹800-₹1200,6-12 months,Self-study|Online platforms,cuet.samarth.ac.in
CLAT,Common Law Admission Test,Consortium of NLUs,5-year BA LLB in NLUs,150 MCQs (English|GK|Legal|Logical|Quantitative),150,2 hours,12th appearing/passed 45%+,December,₹4000 (General)|₹3500 (Reserved),12-18 months,Law coaching centers|Online,consortiumofnlus.ac.in
CAT,Common Admission Test,IIMs,MBA admission in IIMs/top B-schools,100 MCQs (VARC|DILR|QA),300,2 hours,Graduation 50%+,November,₹2300 (General)|₹1150 (Reserved),8-12 months,TIME|IMS|Career Launcher Online,iimcat.ac.in
MAT,Management Aptitude Test,AIMA,MBA admission in AIMA-approved colleges,200 MCQs (Language|Data|Math|Intelligence|GK),200,2.5 hours,Graduation in any stream,Feb|May|Sep|Dec,₹1550,4-6 months,Online platforms|Self-study,mat.aima.in
UPSC CSE,Civil Services Examination,UPSC,IAS/IPS/IFS and other civil services,Prelims (GS+CSAT) + Mains (9 papers) + Interview,2025 (Mains + Interview),Varies,Graduation in any stream,Prelims: May|Mains: Sep,₹100 (General)|Free (Women/Reserved),18-36 months,Chanakya IAS Online|Vision IAS|Vajiram,upsc.gov.in
JKAS,Jammu & Kashmir Administrative Service,JKPSC,J&K State Administrative Services,Prelims + Mains + Interview,Similar to UPSC pattern,Varies,Graduation,As per JKPSC notification,₹800-₹1200,12-24 months,Local coaching centers|Self-study,jkpsc.nic.in
SSC CGL,Staff Selection Commission Combined Graduate Level,SSC,Group B & C posts in Central Govt,Tier 1 to Tier 4 (CBT + Descriptive + Skill),Varies,Varies,Graduation,July-August,₹100 (General)|Free (Women/Reserved),8-12 months,SSC coaching centers|Online,ssc.nic.in
IBPS PO,Institute of Banking Personnel Selection Probationary Officer,IBPS,Bank PO in public sector banks,Prelims + Mains + Interview,Varies,Varies,Graduation 60%+,August-September,₹850 (General)|₹175 (Reserved),6-12 months,Banking coaching|Online platforms,ibps.in
IBPS Clerk,Institute of Banking Personnel Selection Clerk,IBPS,Bank Clerk in public sector banks,Prelims + Mains,Varies,Varies,Graduation,July-August,₹850 (General)|₹175 (Reserved),4-8 months,Banking coaching|Online,ibps.in
SBI PO,State Bank of India Probationary Officer,SBI,SBI Probationary Officer,Prelims + Mains + Interview,Varies,Varies,Graduation,April-May,₹750 (General)|₹125 (Reserved),6-12 months,Banking coaching|Online,sbi.co.in/careers
GATE,Graduate Aptitude Test in Engineering,IIT/IISc,M.Tech admission & PSU jobs,65 MCQs + NAT (subject-wise),100,3 hours,B.Tech/BE final year or passed,February,₹1700 (General)|₹850 (Reserved),8-12 months,GATE coaching|Online platforms,gate.iitb.ac.in
NATA,National Aptitude Test in Architecture,COA,B.Arch admission,Drawing + Aptitude (MCQs),200,3 hours,12th with PCM 50%+,April & July,₹2000,6-12 months,Architecture coaching|Drawing classes,nata.in
NCHM JEE,National Council for Hotel Management Joint Entrance Exam,NTA,Hotel Management admission,200 MCQs (English|Reasoning|GK|Aptitude|Service),200,3 hours,12th passed 50%+,May-June,₹1000,4-6 months,Self-study|Online,nta.ac.in
NIFT,National Institute of Fashion Technology Entrance,NIFT,Fashion Design admission,GAT (General Ability) + CAT (Creative Ability),Varies,3 hours,12th passed,January,₹2000-₹3000,6-12 months,Fashion design coaching|Portfolio prep,nift.ac.in
ICAR AIEEA,Indian Council of Agricultural Research All India Entrance,NTA,Agriculture/Veterinary admission,150 MCQs (Physics|Chemistry|Biology/Maths),600,3 hours,12th with PCB/PCM 50%+,May-June,₹1000,6-12 months,Agriculture coaching|Online,icar.nta.nic.in
AIIMS,All India Institute of Medical Sciences,AIIMS,MBBS in AIIMS (merged with NEET now),Now through NEET,720,3 hours 20 minutes,12th with PCB 50%+,Through NEET,Through NEET,18-24 months,Medical coaching,aiimsexams.ac.in
NDA,National Defence Academy,UPSC,Army/Navy/Air Force officer training,Maths + GAT (English|GK|Physics|Chemistry|Geography|History),900,5 hours,12th appearing/passed (PCM for Air Force),April & September,₹100,12-18 months,NDA coaching centers|Online,upsc.gov.in
CDS,Combined Defence Services,UPSC,Indian Military Academy/Naval Academy/Air Force Academy,English|GK|Elementary Maths,300,4 hours,Graduation,April & September,₹200,8-12 months,Defence coaching|Online,upsc.gov.in
