Scholarship_Name,Type,Eligibility_Category,Income_Limit,Course_Level,Amount_Per_Year,Duration,Key_Documents,Application_Portal,Special_Conditions
National Merit Scholarship (GoI),Merit-based,All J&K Students,Low to middle income,UG (BA|BSc|BCom|BBA|BCA|BTech|BE|Nursing|Law|BEd|BPharma),Varies,3-5 years,Aadhaar|Domicile|Class 12 Marksheet|Admission Proof|Income Certificate|Bank Passbook,National Scholarship Portal,Must have merit-level marks in Class 12
Minority Scholarship - Pre-Matric,Minority,Muslim|Christian|Sikh|Buddhist|Jain|Parsi,Varies by scheme,Class I-X,Varies,Annual,Minority Certificate|Aadhaar|Domicile|Income Certificate|Bank Passbook|Admission Proof,NSP,J&K domicile required
Minority Scholarship - Post-Matric,Minority,Muslim|Christian|Sikh|Buddhist|Jain|Parsi,Varies by scheme,Class XI-XII|UG|PG|Diploma,Varies,Course duration,Minority Certificate|Aadhaar|Domicile|Income Certificate|Bank Passbook|Fee Receipt,NSP,Cannot receive another central scholarship
Minority MCM Scholarship,Minority,Muslim|Christian|Sikh|Buddhist|Jain|Parsi,Varies,Professional & Technical Courses,Varies,Course duration,Minority Certificate|Aadhaar|Domicile|Income Certificate|Bank Passbook|Admission Proof,NSP,For professional/technical courses only
SC Pre-Matric Scholarship,SC Category,Scheduled Caste,₹2.5 lakh per annum,Class 1-10,Varies,Annual,SC Certificate|Aadhaar|Domicile|Income Certificate|Bank Passbook|Marks Card,J&K Social Welfare Portal,J&K domicile required
SC Post-Matric Scholarship,SC Category,Scheduled Caste,₹2.5 lakh per annum,Class 11-PG|Professional,₹10000-₹25000,Course duration,SC Certificate|Aadhaar|Domicile|Income Certificate|Bank Passbook|Fee Receipt|Bonafide,NSP,Covers tuition and maintenance
ST Pre-Matric Scholarship,ST Category,Scheduled Tribe (Gujjar|Bakarwal|Gaddi|Sippi),₹2.5 lakh per annum,Class 1-10,Varies,Annual,ST Certificate|Aadhaar|Domicile|Income Certificate|Bank Passbook|Marks Card,Tribal Affairs Portal,J&K domicile required
ST Post-Matric Scholarship,ST Category,Scheduled Tribe,₹2.5 lakh per annum,Class 11-PG|Professional,₹10000-₹25000,Course duration,ST Certificate|Aadhaar|Domicile|Income Certificate|Bank Passbook|Fee Receipt|Bonafide,NSP,Covers tuition and maintenance
OBC Post-Matric Scholarship,OBC Category,Other Backward Classes,Varies by category,Class 11-PG|Professional,₹10000-₹25000,Course duration,OBC Certificate|Aadhaar|Domicile|Income Certificate|Bank Passbook|Fee Receipt,NSP,Check latest NSP notification
RBA Post-Matric Scholarship,RBA Category,Resident of Backward Area,₹1-1.5 lakh per annum,Class 11-PG,₹10000-₹20000,Course duration,RBA Certificate|Aadhaar|Domicile|Income Certificate|Bank Passbook|Fee Receipt,J&K State Portal,Fee concessions in some colleges
Pahari (PSP) Post-Matric Scholarship,PSP Category,Pahari Speaking People,₹1-2 lakh per annum,Class 11-PG,₹10000-₹20000,Course duration,PSP Certificate|Aadhaar|Domicile|Income Certificate|Bank Passbook|Fee Receipt,J&K State Portal,Fee concessions available
Saksham Scholarship (AICTE),Disability,Differently-Abled (40%+ disability),₹8 lakh per annum,B.Tech|BE|B.Pharmacy|Diploma,₹50000,4 years (Degree) | 3 years (Diploma),Disability Certificate (40%+)|Aadhaar|10th & 12th Marksheet|Admission Letter|Income Certificate|Bank Passbook,NSP - AICTE,For AICTE-approved technical courses only
Pragati Scholarship (AICTE),Girls in Technical Education,Female students only,₹8 lakh per annum,Degree|Diploma in Technical courses,₹50000,4 years (Degree) | 3 years (Diploma),10th & 12th Marksheet|Income Certificate|Admission Letter|Fee Receipt|Aadhaar|Bank Passbook,NSP - AICTE,Max 2 girl children per family; 2000 slots for degree + 2000 for diploma
INSPIRE Scholarship (SHE),Merit-based Science,Top 1% in Class 12 OR JEE/NEET Top 10000,No income limit,B.Sc|M.Sc|Integrated M.S. in Natural Sciences,₹80000 (₹60000 scholarship + ₹20000 mentorship),5 years,Class 10 & 12 Marksheet|Aadhaar|Bank Passbook|Admission Proof|Top 1% Certificate OR JEE/NEET Rank Card,INSPIRE Portal,Must maintain 65%+ each year; Age 17-22 years
J&K Merit Scholarship,Merit-based,All categories,No specific limit,UG|PG,₹20000-₹30000,Course duration,Aadhaar|Domicile|Marksheet|Admission Proof|Bank Passbook,J&K State Portal,60%+ in 12th required
PM Scholarship for J&K,J&K Students,All J&K residents,Family income < ₹6 lakh,UG|PG,₹2500 per month (₹30000/year),Course duration,Aadhaar|Domicile|Income Certificate|Admission Proof|Bank Passbook,NSP,Special scheme for J&K students
