Skill_Category,Skill_Name,Relevance_For_Careers,Learning_Resources,Time_To_Learn,Certification_Available,Cost,Importance_Rating
Programming,Python,Software Development|Data Science|AI/ML|Web Development,Coursera|Udemy|freeCodeCamp|YouTube (Corey Schafer),3-6 months,Yes (Google|IBM|Microsoft),Free-₹5000,9/10
Programming,Java,Software Development|Android Development|Backend Development,Coursera|Udemy|Oracle Java Tutorials,4-6 months,Yes (Oracle Certified),Free-₹8000,8/10
Programming,C/C++,System Programming|Competitive Programming|Embedded Systems,GeeksforGeeks|HackerRank|YouTube,4-6 months,No major certification,Free,7/10
Web Development,HTML/CSS,Web Development|Frontend Development,freeCodeCamp|W3Schools|MDN Web Docs,1-2 months,No,Free,8/10
Web Development,JavaScript,Frontend|Backend (Node.js)|Full Stack Development,freeCodeCamp|JavaScript.info|Udemy,3-6 months,Yes (freeCodeCamp),Free-₹3000,9/10
Web Development,React.js,Frontend Development|Single Page Applications,React Official Docs|Udemy|YouTube (Traversy Media),2-4 months,Yes (Meta),Free-₹5000,8/10
Data Science,Data Analysis,Data Analyst|Business Analyst|Research,Coursera (Google)|Kaggle|DataCamp,4-6 months,Yes (Google|IBM),Free-₹10000,9/10
Data Science,Machine Learning,AI/ML Engineer|Data Scientist,Coursera (Andrew Ng)|Fast.ai|Kaggle,6-12 months,Yes (Google|IBM|Stanford),Free-₹15000,9/10
Data Science,SQL,Database Management|Data Analysis|Backend Development,SQLZoo|Mode Analytics|W3Schools,2-3 months,Yes (Oracle|Microsoft),Free-₹5000,9/10
Design,AutoCAD,Civil Engineering|Mechanical Engineering|Architecture,Autodesk Official|YouTube|Udemy,3-6 months,Yes (Autodesk Certified),₹10000-₹20000,9/10
Design,SolidWorks,Mechanical Engineering|Product Design,SolidWorks Tutorials|YouTube|Udemy,4-6 months,Yes (CSWA|CSWP),₹15000-₹25000,8/10
Design,Graphic Design,Marketing|Content Creation|UI/UX Design,Canva Design School|Adobe Tutorials|Coursera,3-6 months,Yes (Adobe Certified),Free-₹12000,7/10
Design,UI/UX Design,Web Design|App Design|Product Design,Google UX Design (Coursera)|Figma Community,4-8 months,Yes (Google|Adobe),Free-₹15000,8/10
Communication,English Communication,All careers,British Council|Coursera|YouTube (English with Lucy),3-6 months,Yes (IELTS|TOEFL),₹5000-₹15000,10/10
Communication,Public Speaking,Leadership|Teaching|Management|Sales,Toastmasters|Coursera|YouTube (TED),6-12 months,Yes (Toastmasters),₹5000-₹10000,8/10
Communication,Technical Writing,Documentation|Content Writing|Research,Google Technical Writing|Coursera,2-4 months,Yes (Google),Free-₹5000,7/10
Finance,Accounting (Tally),Accounting|Finance|Commerce,Tally Official|YouTube|Udemy,2-3 months,Yes (Tally Certified),₹3000-₹8000,9/10
Finance,GST & Taxation,Accounting|Tax Consultant|Finance,Government GST Portal|YouTube|CA Coaching,3-6 months,No (but valuable),₹5000-₹15000,8/10
Finance,Excel (Advanced),Data Analysis|Finance|Business|Research,Microsoft Learn|Coursera|YouTube (Leila Gharani),2-4 months,Yes (Microsoft),Free-₹5000,9/10
Digital Marketing,SEO,Digital Marketing|Content Marketing|E-commerce,Google Digital Garage|Moz|SEMrush Academy,3-6 months,Yes (Google|HubSpot),Free-₹10000,8/10
Digital Marketing,Social Media Marketing,Marketing|Brand Management|Content Creation,Facebook Blueprint|Google|HubSpot Academy,2-4 months,Yes (Facebook|Google),Free-₹8000,8/10
Digital Marketing,Content Writing,Blogging|Copywriting|Marketing,Copyblogger|HubSpot|Coursera,3-6 months,Yes (HubSpot),Free-₹5000,7/10
Video & Animation,Video Editing,Content Creation|Media|Marketing,Adobe Premiere Pro Tutorials|DaVinci Resolve|YouTube,3-6 months,Yes (Adobe),Free-₹12000,7/10
Video & Animation,Animation,Animation|VFX|Gaming,Blender Guru|Animation Mentor|Udemy,6-12 months,Yes (Autodesk|Adobe),Free-₹20000,7/10
Cloud & DevOps,AWS,Cloud Computing|DevOps|Backend Development,AWS Training|Coursera|A Cloud Guru,4-8 months,Yes (AWS Certified),Free-₹15000,8/10
Cloud & DevOps,Docker & Kubernetes,DevOps|Cloud|Backend Development,Docker Docs|Kubernetes Docs|Udemy,3-6 months,Yes (Docker|Kubernetes),Free-₹10000,7/10
Soft Skills,Leadership,Management|Entrepreneurship|Team Lead,Coursera|LinkedIn Learning|Books,Ongoing,Yes (LinkedIn),Free-₹8000,9/10
Soft Skills,Time Management,All careers,Coursera|YouTube|Books (Getting Things Done),1-3 months,No,Free,8/10
Soft Skills,Problem Solving,Engineering|Data Science|Management|Research,LeetCode|HackerRank|Project Euler,Ongoing,No,Free,10/10
Soft Skills,Critical Thinking,All careers,Coursera|Books|Practice,Ongoing,No,Free,9/10
Medical,First Aid & CPR,Healthcare|Nursing|Emergency Services,Red Cross|St. John Ambulance|YouTube,1-2 days,Yes (Certified),₹2000-₹5000,9/10 (for medical)
Medical,Medical Terminology,Healthcare|Nursing|Pharmacy|Allied Health,Coursera|YouTube|Medical books,2-3 months,Yes (online),Free-₹5000,8/10 (for medical)
Legal,Legal Research,Law|Legal Services|Corporate Legal,Law school resources|Manupatra|SCC Online,6-12 months,No,Varies,9/10 (for law)
Legal,Contract Drafting,Law|Corporate|Business,Law courses|YouTube|Practice,4-6 months,No,Free-₹10000,8/10 (for law)
